ZipCodePrefix,City,State,Latitude,Longitude,Region,RowEffectiveDate,RowExpirationDate,CurrentFlag
2851,sao paulo,SP,-23.45956619003817,-46.69137675746327,,2025-03-21T13:50:24.495Z,,true
2853,são paulo,SP,-23.457413275402757,-46.69505096111616,,2025-03-21T13:50:24.495Z,,true
2854,sao paulo,SP,-23.456544802462957,-46.6975407432739,,2025-03-21T13:50:24.495Z,,true
2855,sao paulo,SP,-23.456160039922654,-46.70068645158692,,2025-03-21T13:50:24.495Z,,true
2856,sao paulo,SP,-23.463975829784115,-46.67975332737471,,2025-03-21T13:50:24.495Z,,true
2857,sao paulo,SP,-23.613904104928892,-46.73797150156235,,2025-03-21T13:50:24.495Z,,true
2858,sao paulo,SP,-23.44633830342132,-46.70258169256253,,2025-03-21T13:50:24.495Z,,true
2859,são paulo,SP,-23.454384128866536,-46.702438646660596,,2025-03-21T13:50:24.495Z,,true
2860,sao paulo,SP,-23.460433037399653,-46.686035172518025,,2025-03-21T13:50:24.495Z,,true
2861,são paulo,SP,-23.47133885424759,-46.67191322075077,,2025-03-21T13:50:24.495Z,,true
2862,sao paulo,SP,-23.47502247303331,-46.68018605032914,,2025-03-21T13:50:24.495Z,,true
2863,sao paulo,SP,-23.47361985211631,-46.674482397421194,,2025-03-21T13:50:24.495Z,,true
2864,sao paulo,SP,-23.47238113559378,-46.68166780595061,,2025-03-21T13:50:24.495Z,,true
2865,sao paulo,SP,-23.474588440461723,-46.67693608610067,,2025-03-21T13:50:24.495Z,,true
2866,sao paulo,SP,-23.467682131447905,-46.680876833991114,,2025-03-21T13:50:24.495Z,,true
2867,sao paulo,SP,-23.469200358657872,-46.683444145871235,,2025-03-21T13:50:24.495Z,,true
2870,sao paulo,SP,-23.461383796952727,-46.677314000038415,,2025-03-21T13:50:24.495Z,,true
2871,sao paulo,SP,-23.462807030859246,-46.67536704480812,,2025-03-21T13:50:24.495Z,,true
2872,sao paulo,SP,-23.462378852460713,-46.671653340666886,,2025-03-21T13:50:24.495Z,,true
2873,são paulo,SP,-23.457069438287945,-46.68240622317644,,2025-03-21T13:50:24.495Z,,true
2874,sao paulo,SP,-23.462564640930363,-46.67642531786472,,2025-03-21T13:50:24.495Z,,true
2875,sao paulo,SP,-23.461557027524183,-46.68193587116822,,2025-03-21T13:50:24.495Z,,true
2876,sao paulo,SP,-23.45911715187886,-46.69260866645015,,2025-03-21T13:50:24.495Z,,true
2877,sao paulo,SP,-23.459364168265814,-46.68322004448901,,2025-03-21T13:50:24.495Z,,true
2878,sao paulo,SP,-23.45203458939662,-46.68707135277251,,2025-03-21T13:50:24.495Z,,true
2879,sao paulo,SP,-23.44893008246757,-46.69773174667532,,2025-03-21T13:50:24.495Z,,true
2880,são paulo,SP,-23.466680620069337,-46.672226855718876,,2025-03-21T13:50:24.495Z,,true
2881,sao paulo,SP,-23.46661620440815,-46.67501242767523,,2025-03-21T13:50:24.495Z,,true
2882,sao paulo,SP,-23.470619476046593,-46.66808892111182,,2025-03-21T13:50:24.495Z,,true
2883,sao paulo,SP,-23.446461146402513,-46.7014892893545,,2025-03-21T13:50:24.495Z,,true
2888,sao paulo,SP,-23.46593152761269,-46.67485348612152,,2025-03-21T13:50:24.495Z,,true
2908,sao paulo,SP,-23.502014146330914,-46.70019372552115,,2025-03-21T13:50:24.495Z,,true
2909,sao paulo,SP,-23.507132621219792,-46.698910262767626,,2025-03-21T13:50:24.495Z,,true
2910,sao paulo,SP,-23.505216462608264,-46.699395957570474,,2025-03-21T13:50:24.495Z,,true
2911,sao paulo,SP,-23.50401239552802,-46.70206852643251,,2025-03-21T13:50:24.495Z,,true
2912,sao paulo,SP,-23.505458928120674,-46.708520612957685,,2025-03-21T13:50:24.495Z,,true
2913,sao paulo,SP,-23.503459306465057,-46.71287869871107,,2025-03-21T13:50:24.495Z,,true
2914,sao paulo,SP,-23.50323598837744,-46.70954984864485,,2025-03-21T13:50:24.495Z,,true
2915,sao paulo,SP,-23.498015599812312,-46.70785531697166,,2025-03-21T13:50:24.495Z,,true
2916,sao paulo,SP,-23.494252239511642,-46.71388030944217,,2025-03-21T13:50:24.495Z,,true
2917,sao paulo,SP,-23.49795733183238,-46.71311508679524,,2025-03-21T13:50:24.495Z,,true
2918,sao paulo,SP,-23.495854832279324,-46.71685166381974,,2025-03-21T13:50:24.495Z,,true
2919,são paulo,SP,-23.49934383210795,-46.71441630800913,,2025-03-21T13:50:24.495Z,,true
2920,são paulo,SP,-23.490201980251125,-46.72136075491287,,2025-03-21T13:50:24.495Z,,true
2921,sao paulo,SP,-23.48865958625756,-46.72384764305452,,2025-03-21T13:50:24.495Z,,true
2924,sao paulo,SP,-23.49947924261941,-46.707434171675196,,2025-03-21T13:50:24.495Z,,true
2925,sao paulo,SP,-23.50194675411805,-46.698500163243956,,2025-03-21T13:50:24.495Z,,true
2926,sao paulo,SP,-23.499976294074788,-46.70156108562361,,2025-03-21T13:50:24.495Z,,true
2927,são paulo,SP,-23.4977397422524,-46.703783700781436,,2025-03-21T13:50:24.495Z,,true
2928,sao paulo,SP,-23.508861578302486,-46.68112721209489,,2025-03-21T13:50:24.495Z,,true
2929,sao paulo,SP,-23.492687855695195,-46.70633793156746,,2025-03-21T13:50:24.495Z,,true
2930,sao paulo,SP,-23.490830865548492,-46.70795631330455,,2025-03-21T13:50:24.495Z,,true
2931,sao paulo,SP,-23.497314211412,-46.70960852407719,,2025-03-21T13:50:24.495Z,,true
2932,sao paulo,SP,-23.49083513612948,-46.71143788894153,,2025-03-21T13:50:24.495Z,,true
2933,são paulo,SP,-23.492968934178496,-46.71284205859647,,2025-03-21T13:50:24.495Z,,true
2934,sao paulo,SP,-23.48680400920038,-46.705300018054736,,2025-03-21T13:50:24.495Z,,true
2935,são paulo,SP,-23.488932082642744,-46.71666142368085,,2025-03-21T13:50:24.495Z,,true
2936,sao paulo,SP,-23.48598303129983,-46.717945545170394,,2025-03-21T13:50:24.495Z,,true
2937,sao paulo,SP,-23.48496773734536,-46.72092591063849,,2025-03-21T13:50:24.495Z,,true
2938,sao paulo,SP,-23.458835453712762,-46.722111018720945,,2025-03-21T13:50:24.495Z,,true
2939,são paulo,SP,-23.48322763278342,-46.72991005287441,,2025-03-21T13:50:24.495Z,,true
2940,sao paulo,SP,-23.480242559201386,-46.723832689946974,,2025-03-21T13:50:24.495Z,,true
2941,sao paulo,SP,-23.478802923326487,-46.72272470033173,,2025-03-21T13:50:24.495Z,,true
2942,sao paulo,SP,-23.476088375679197,-46.7225878483933,,2025-03-21T13:50:24.495Z,,true
2943,sao paulo,SP,-23.476741320858554,-46.72499374323387,,2025-03-21T13:50:24.495Z,,true
2944,sao paulo,SP,-23.475342533421376,-46.726070196849754,,2025-03-21T13:50:24.495Z,,true
